ranking,region,permanent_resident_population,area,link
1,[上海]浦东新区,555.02万人,1210.41,
2,[北京]朝阳区,347.3万,455,
3,[深圳]宝安区,334.28万,396.61,
4,[北京]海淀区,323.7万,431,
5,[佛山]南海区,303.17万人,1077,
6,[天津]滨海新区,299.86万,2270,
7,[佛山]顺德区,278.32万人,806,
8,[广州]白云区,277.96万,796,
9,[上海]闵行区,254.93万,370.75,
10,[深圳]龙岗区,250.86万,388.22,
11,[北京]昌平区,216.6万,1344,
12,[揭阳]普宁市,212.32万,1620,
13,[泉州]晋江市,211.9万,721.7,
14,[上海]宝山区,204.43万,270.99,
15,[北京]丰台区,202.5万,306,
16,[成都]武侯区,192.5万,123,
17,[杭州]余杭区,189.1万人,1222,
18,[广州]番禺区,182.78万,530,
19,[郑州]金水区,178.92万,242,
20,[广州]天河区,178.85万,96,
21,[上海]松江区,177.19万,605.64,
22,[宿州]桥区,174.9万,2868,
23,[汕头]潮阳区,172.7万,678,
24,[广州]海珠区,172.42万,91,
25,[武汉]洪山区,171.29万,509,
26,[北京]大兴区,171.2万,1036,
27,[深圳]龙华区,170.63万,175.58,
28,[重庆]渝北区,168.35万,1457,
29,[北京]通州区,167.5万人,906,
30,[苏州]昆山市,166.74万,932,
31,[深圳]福田区,166.29万,78.66,
32,[阜阳]临泉县,165.9万,1818,
33,[无锡]江阴市,165.34万,987,
34,[重庆]万州区,165.01万,3453,
35,[枣庄]滕州市,162.52万,1495,
36,[青岛]黄岛区（西海岸新区）,160.82万,2096,
37,[贵港]桂平市,159.7万,4074,
38,[上海]嘉定区,159.6万,464.2,
39,[茂名]电白区,158.84万,1945,
40,[宁波]慈溪市,158.50万,1154,
41,[杭州]萧山区,158.5万人,1163,
42,[宿迁]沭阳县,157.01万,2299,
43,[深圳]南山区,154.58万,187.53,
44,[亳州]谯城区,153.1万,2226,
45,[苏州]常熟市,151.89万,1276,
46,[湛江]廉江市,151.52万,2543,
47,[泉州]南安市,151.0万,1985,
48,[湛江]雷州市,150.04万,3025,
49,[成都]双流区,146.5万,1067,
50,[常州]武进区,145.38万,1065.2,
51,[阜阳]太和县,145.3万,1822,
52,[徐州]邳州市,144.57万,2088,
53,[昭通]镇雄县,143.79万,3785,
54,[温州]瑞安市,143.79万,1278,
55,[茂名]高州市,142.91万人,3389,
56,[宁波]鄞州区,142.9万,814.2,
57,[温州]乐清市,142.85万,1174,
58,[玉林]博白县,142.6万,3836,
59,[菏泽]曹县,142.29万,1974,
60,[汕尾]陆丰市,142.19万,1777,
61,[重庆]合川区,140.72万,2343,
62,[重庆]江津区,138.70万人,3216,
63,[西安]雁塔区,138.53万,152,
64,[曲靖]宣威市,138.16万,6257,
65,[青岛]平度市,137.79万,3176,
66,[长沙]浏阳市,137.35万,4997,
67,[临沂]兰山区,137.3万,818,
68,[台州]温岭市,136.9万,836,
69,[宜春]丰城市,136.78万,2845,
70,[南阳]邓州市,136.6万,2294,
71,[汕头]潮南区,136.54万,596,
72,[南京]江宁区,134.73万,1563,
73,[上饶]鄱阳县,134.35万,4215,
74,[长沙]宁乡市,133.84万,2912,
75,[兰州]兰州城关区,133.07万,222,
76,[福州]福清市,133万,1518,
77,[亳州]涡阳县,131.92万,2107,
78,[金华]义乌市,131.86万,1103,
79,[茂名]化州市,131.55万人,2404,
80,[合肥]蜀山区,131.23万,643,
81,[苏州]吴江区,131.12万,1238,
82,[上海]杨浦区,130.49万,60.73,
83,[毕节]威宁彝族回族苗族自治县,129.72万,6296,
84,[阜阳]颍上县,129.5万,1859,
85,[上海]普陀区,127.58万,54.83,
86,[泰安]新泰市,127.22万,1934,
87,[台湾]彰化县,127.05万人,1074.4,
88,[武汉]武昌区,126.62万,81,
89,[苏州]张家港市,126.4万,990,
90,[温州]鹿城区,126.26万,294,
91,[南宁]西乡塘区,126.2万,1298,
92,[广州]增城区,126.01万,1616,
93,[无锡]宜兴市,125.64万,1997,
94,[北京]房山区,125.5万,1990,
95,[亳州]利辛县,125.2万,1950,
96,[青岛]即墨区,124.89万,1780,
97,[湖北]天门市,124.74万,2622,
98,[泰州]兴化市,124.23万,2395,
99,[商丘]永城市,124.15万,2068,
100,[南通]如皋市,123.51万,1492,
